Year,Month,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16,comp17,comp18
1992,February,113,540,902,388,1119,970,1661,509,868,1877,14,225,1046,1775,1657,1816,1379,1311
1992,March,111,524,905,371,1106,986,1680,524,863,1884,13,240,1028,1785,1658,1827,1368,1315
1992,April,116,522,897,360,1105,1004,1663,515,868,1864,6,257,1031,1780,1641,1824,1362,1315
1992,May,96,524,890,352,1086,988,1660,515,855,1848,17,266,1039,1796,1630,1827,1379,1312
1992,June,79,519,878,334,1103,1006,1658,497,871,1834,25,258,1024,1778,1646,1814,1398,1322
1992,July,60,534,895,345,1097,1005,1652,500,888,1826,34,271,1010,1792,1652,1816,1395,1335
1992,August,49,542,905,341,1083,987,1656,487,897,1834,17,278,1010,1785,1646,1812,1413,1331
1992,September,44,538,899,342,1103,990,1671,480,907,1846,32,274,992,1794,1666,1814,1428,1315
1992,October,30,535,881,349,1123,1010,1677,460,906,1840,26,258,982,1814,1661,1829,1416,1318
1992,November,46,547,867,351,1127,993,1674,464,891,1833,12,272,995,1833,1657,1824,1407,1306
1992,December,61,558,871,359,1122,984,1679,467,887,1821,30,278,1015,1816,1655,1815,1397,1300
1993,January,55,552,854,347,1131,967,1699,469,891,1820,38,268,996,1797,1656,1802,1414,1283
1993,February,45,561,844,327,1131,963,1703,470,889,1829,41,258,977,1782,1676,1805,1433,1272
1993,March,33,566,857,320,1148,949,1721,480,881,1810,24,255,963,1781,1673,1805,1436,1261
1993,April,25,548,877,338,1142,967,1740,475,879,1801,13,254,949,1785,1668,1800,1439,1244
1993,May,43,531,864,357,1141,965,1734,485,871,1813,13,245,965,1802,1665,1793,1453,1232
1993,June,47,531,877,358,1124,968,1737,492,891,1809,22,265,984,1818,1673,1788,1441,1228
1993,July,61,520,871,359,1123,951,1726,473,872,1803,37,264,973,1837,1665,1797,1440,1243
1993,August,73,537,881,377,1131,953,1708,470,866,1823,19,248,990,1853,1649,1812,1443,1224
1993,September,76,555,900,369,1123,943,1718,453,851,1843,4,251,999,1855,1663,1816,1426,1227
1993,October,76,558,896,380,1137,924,1734,472,838,1862,1,255,1003,1840,1676,1822,1408,1233
1993,November,75,542,881,384,1137,926,1754,454,840,1867,14,265,996,1852,1681,1827,1395,1225
1993,December,59,523,871,376,1137,930,1738,461,858,1848,6,260,999,1868,1699,1825,1376,1225
1994,January,60,536,863,391,1131,919,1740,463,878,1834,9,251,1010,1857,1701,1819,1367,1238
1994,February,47,525,867,381,1112,935,1760,475,897,1831,13,257,1030,1848,1720,1834,1348,1246
1994,March,36,536,851,398,1132,939,1765,491,898,1812,3,245,1024,1860,1739,1838,1368,1240
1994,April,28,520,853,382,1120,950,1763,499,901,1806,9,258,1035,1860,1721,1844,1373,1257
1994,May,13,525,842,374,1125,959,1782,516,894,1798,2,243,1044,1878,1701,1848,1390,1258
1994,June,1,519,852,385,1106,972,1764,530,897,1807,15,240,1027,1891,1685,1851,1395,1255
1994,July,0,529,841,391,1100,979,1763,521,892,1810,0,225,1041,1903,1679,1854,1392,1248
1994,August,16,533,834,404,1102,987,1767,536,907,1798,4,223,1033,1905,1687,1850,1403,1228
1994,September,25,546,814,388,1099,997,1765,522,889,1784,4,220,1036,1906,1675,1834,1406,1227
1994,October,37,530,819,368,1104,1009,1785,524,908,1800,20,203,1048,1901,1668,1824,1407,1244
1994,November,25,529,819,350,1103,1017,1769,515,918,1789,11,196,1045,1886,1674,1815,1408,1228
1994,December,6,538,803,344,1107,1002,1755,498,902,1778,17,191,1048,1892,1688,1821,1420,1216
1995,January,14,525,794,362,1102,990,1744,512,899,1793,25,174,1058,1889,1703,1829,1401,1201
1995,February,17,543,793,353,1118,997,1733,525,904,1788,26,179,1056,1899,1687,1823,1420,1221
1995,March,23,543,805,356,1122,1004,1743,509,923,1773,22,182,1073,1902,1698,1808,1410,1229
1995,April,16,560,787,342,1124,995,1731,491,937,1768,24,188,1081,1920,1704,1810,1411,1247
1995,May,4,578,807,353,1143,1005,1743,497,917,1769,35,190,1095,1902,1709,1793,1411,1255
1995,June,17,574,807,361,1155,1004,1742,490,923,1755,38,197,1085,1882,1692,1809,1414,1239
1995,July,11,578,824,379,1147,1014,1734,502,912,1741,32,185,1077,1900,1682,1808,1417,1250
1995,August,3,584,830,362,1160,998,1733,507,923,1742,42,194,1080,1906,1676,1794,1421,1249
1995,September,0,602,830,353,1145,997,1730,513,910,1744,36,190,1081,1890,1694,1786,1436,1242
1995,October,11,606,837,356,1127,998,1731,493,908,1742,27,184,1087,1873,1708,1791,1424,1238
1995,November,8,618,833,360,1142,993,1722,477,888,1734,19,191,1071,1871,1717,1771,1421,1239
1995,December,12,616,845,379,1144,987,1741,480,869,1725,14,204,1079,1881,1731,1790,1422,1246
1996,January,16,634,864,386,1157,984,1725,497,862,1740,13,224,1096,1887,1738,1810,1406,1254
1996,February,35,628,854,392,1161,970,1735,502,844,1752,3,242,1078,1905,1740,1829,1416,1270
1996,March,33,616,842,376,1148,970,1749,515,824,1740,4,238,1078,1924,1733,1825,1430,1288
1996,April,51,615,840,367,1140,982,1736,503,838,1752,2,254,1075,1905,1728,1822,1422,1289
1996,May,39,610,851,387,1151,1000,1748,493,827,1743,15,273,1057,1917,1739,1836,1415,1277
1996,June,38,628,858,402,1147,1008,1729,488,829,1754,20,269,1045,1898,1738,1838,1435,1274
1996,July,45,617,838,421,1134,1013,1715,480,838,1747,40,274,1059,1895,1726,1820,1433,1290
1996,August,50,606,821,410,1135,1024,1718,489,851,1746,24,282,1063,1879,1740,1808,1451,1290
1996,September,59,591,801,415,1131,1029,1725,482,852,1735,43,270,1074,1894,1758,1819,1467,1299
1996,October,73,578,792,418,1137,1022,1714,470,850,1735,42,262,1069,1911,1738,1833,1464,1316
1996,November,82,572,802,435,1121,1021,1694,473,846,1752,28,259,1051,1906,1743,1838,1453,1313
1996,December,95,590,791,428,1103,1025,1712,468,830,1745,36,246,1050,1905,1727,1826,1458,1295
1997,January,100,571,786,413,1101,1037,1695,451,847,1731,17,230,1060,1903,1729,1824,1458,1305
1997,February,88,591,802,408,1098,1024,1712,438,865,1713,5,219,1070,1901,1713,1837,1444,1286
1997,March,80,603,812,397,1100,1015,1731,423,853,1703,12,207,1074,1886,1710,1834,1458,1271
1997,April,100,602,815,411,1080,1013,1746,432,853,1685,23,219,1073,1893,1730,1831,1458,1255
1997,May,93,613,800,413,1079,999,1766,439,853,1682,32,205,1053,1884,1724,1836,1453,1240
1997,June,91,632,808,398,1063,984,1758,447,838,1699,23,219,1057,1896,1708,1818,1437,1240
1997,July,107,616,815,417,1076,1000,1772,461,849,1707,29,230,1067,1903,1709,1802,1418,1251
1997,August,105,609,822,433,1070,1000,1791,459,857,1726,18,241,1079,1901,1708,1805,1425,1251
1997,September,89,610,821,434,1080,1011,1771,450,849,1721,3,259,1080,1920,1698,1821,1438,1263
1997,October,74,604,829,436,1083,1006,1776,432,836,1733,3,271,1063,1901,1679,1836,1438,1248
1997,November,77,601,814,453,1078,1021,1769,412,839,1750,3,263,1047,1885,1687,1836,1419,1261
1997,December,60,594,826,453,1068,1026,1773,431,823,1740,16,249,1030,1883,1667,1819,1438,1277
1998,January,72,604,833,434,1073,1032,1777,430,819,1746,10,264,1035,1870,1684,1824,1456,1286
1998,February,82,585,852,440,1054,1049,1765,442,803,1736,11,246,1046,1872,1664,1831,1444,1271
1998,March,83,584,845,441,1058,1061,1776,449,820,1721,10,252,1050,1891,1653,1837,1424,1270
1998,April,90,570,831,425,1048,1057,1795,461,809,1729,11,259,1061,1887,1638,1848,1430,1269
1998,May,109,571,833,421,1030,1053,1779,463,813,1714,24,273,1081,1897,1643,1857,1435,1285
1998,June,101,568,832,415,1046,1071,1769,463,820,1713,28,270,1095,1890,1662,1862,1429,1280
1998,July,93,568,821,429,1043,1055,1750,472,824,1710,11,279,1115,1886,1663,1870,1440,1274
1998,August,106,577,836,430,1040,1038,1754,473,833,1706,12,273,1130,1900,1651,1884,1453,1294
1998,September,102,585,819,423,1044,1056,1763,457,840,1694,1,281,1117,1918,1648,1880,1448,1280
1998,October,89,594,809,411,1058,1051,1770,459,836,1686,5,277,1099,1906,1628,1862,1466,1279
1998,November,82,600,823,419,1074,1042,1790,454,855,1688,1,295,1084,1906,1635,1875,1457,1273
1998,December,84,593,843,400,1057,1032,1771,473,867,1695,20,275,1079,1920,1629,1863,1439,1264
1999,January,98,581,849,392,1046,1048,1754,470,861,1680,38,281,1078,1936,1633,1874,1446,1254
1999,February,99,561,837,398,1065,1039,1738,459,860,1698,57,268,1091,1920,1626,1878,1426,1262
1999,March,107,574,831,391,1050,1052,1757,449,869,1690,51,279,1108,1930,1631,1874,1409,1270
1999,April,89,563,850,397,1042,1053,1741,464,883,1687,62,275,1126,1949,1628,1869,1409,1263
1999,May,81,558,862,386,1049,1064,1721,455,890,1669,51,295,1119,1951,1632,1881,1412,1283
1999,June,88,553,868,396,1067,1061,1725,475,876,1687,71,299,1102,1958,1617,1873,1412,1279
1999,July,89,537,868,398,1077,1047,1711,478,886,1688,76,294,1088,1953,1618,1882,1423,1265
1999,August,70,536,873,414,1060,1040,1717,496,884,1699,75,304,1095,1964,1609,1871,1427,1261
1999,September,87,519,858,403,1070,1029,1712,492,878,1696,72,308,1090,1981,1591,1856,1412,1250
1999,October,92,516,839,418,1068,1026,1711,483,896,1697,65,315,1091,2001,1607,1840,1419,1247
1999,November,107,517,837,405,1058,1045,1695,498,915,1699,80,331,1108,2014,1610,1853,1437,1267
1999,December,98,510,831,407,1074,1045,1715,482,928,1687,90,326,1120,2017,1610,1865,1450,1249
2000,January,118,526,814,415,1065,1050,1701,495,941,1700,80,311,1138,2018,1592,1866,1444,1263
2000,February,116,509,798,414,1070,1062,1719,476,934,1706,94,309,1124,2003,1594,1848,1451,1249
2000,March,116,490,812,395,1068,1076,1712,467,953,1708,107,312,1112,1987,1603,1845,1439,1230
2000,April,120,480,816,379,1054,1077,1709,477,939,1696,113,307,1121,1978,1592,1860,1450,1228
2000,May,138,465,803,378,1074,1093,1693,477,943,1712,108,315,1106,1960,1605,1849,1442,1247
2000,June,131,460,823,395,1078,1105,1691,477,956,1718,128,298,1105,1961,1624,1864,1448,1262
2000,July,134,468,812,384,1082,1121,1699,470,959,1700,120,317,1095,1957,1630,1882,1433,1262
2000,August,142,460,829,400,1083,1115,1713,486,953,1687,124,328,1083,1942,1641,1880,1428,1260
2000,September,132,450,830,393,1101,1112,1711,503,971,1699,118,322,1091,1933,1653,1881,1418,1243
2000,October,113,448,817,404,1096,1095,1719,519,990,1703,105,323,1077,1946,1646,1901,1407,1240
2000,November,105,449,817,385,1104,1110,1730,502,973,1710,113,338,1075,1932,1646,1917,1414,1246
2000,December,110,457,802,392,1124,1111,1716,517,977,1691,100,334,1075,1936,1660,1921,1402,1243
2001,January,129,453,795,411,1110,1122,1733,527,958,1682,95,344,1062,1952,1661,1913,1416,1255
2001,February,112,448,784,397,1106,1108,1715,531,953,1680,78,332,1061,1965,1670,1905,1405,1263
2001,March,111,432,790,412,1118,1124,1721,549,941,1662,91,333,1065,1955,1678,1914,1391,1258
2001,April,92,437,783,428,1105,1135,1722,531,947,1650,79,317,1083,1950,1665,1929,1394,1273
2001,May,107,427,775,435,1112,1116,1717,516,954,1637,64,318,1065,1968,1683,1916,1412,1270
2001,June,116,422,767,437,1122,1127,1717,518,968,1652,47,336,1076,1983,1703,1929,1428,1265
2001,July,119,428,758,442,1141,1120,1717,537,963,1641,43,351,1057,1975,1706,1943,1412,1253
2001,August,121,448,767,434,1152,1116,1704,544,954,1659,27,350,1048,1960,1708,1932,1421,1235
2001,September,105,462,748,432,1156,1101,1701,557,944,1669,41,355,1064,1958,1715,1927,1413,1217
2001,October,90,468,728,415,1149,1090,1697,556,924,1686,35,343,1068,1965,1699,1924,1400,1235
2001,November,109,471,720,418,1152,1102,1697,564,912,1683,16,348,1081,1956,1698,1932,1391,1235
2001,December,124,482,737,401,1171,1108,1692,580,909,1679,2,339,1079,1975,1699,1922,1406,1228
2002,January,110,492,726,420,1163,1105,1700,593,919,1671,13,319,1078,1994,1707,1930,1399,1236
2002,February,119,500,730,430,1147,1102,1699,575,900,1667,7,335,1090,1997,1724,1916,1382,1233
2002,March,101,507,734,414,1140,1107,1705,574,896,1677,1,319,1075,1988,1716,1915,1382,1226
2002,April,97,500,726,434,1127,1120,1693,578,902,1661,2,311,1060,1978,1716,1910,1365,1241
2002,May,82,510,741,431,1120,1115,1708,595,911,1662,6,317,1041,1981,1698,1897,1370,1231
2002,June,91,508,726,438,1139,1106,1702,579,902,1676,19,336,1061,1983,1716,1906,1381,1243
2002,July,94,525,708,449,1128,1126,1720,574,912,1683,16,326,1071,1964,1706,1899,1384,1223
2002,August,92,536,707,444,1109,1109,1705,560,900,1687,1,325,1067,1949,1698,1880,1391,1215
2002,September,95,545,715,441,1095,1129,1723,572,912,1697,17,327,1081,1968,1718,1884,1403,1226
2002,October,115,539,718,438,1076,1149,1710,554,894,1699,24,308,1061,1984,1724,1894,1390,1235
2002,November,97,544,707,446,1077,1160,1707,538,890,1700,12,302,1050,1987,1737,1889,1385,1245
2002,December,84,548,713,438,1088,1145,1724,552,877,1684,26,287,1039,1970,1753,1894,1403,1257
2003,January,74,534,710,434,1095,1127,1737,561,880,1702,38,276,1026,1978,1742,1875,1386,1248
2003,February,58,540,701,415,1107,1133,1745,549,863,1685,29,286,1018,1967,1744,1889,1399,1265
2003,March,58,530,700,404,1126,1132,1738,557,870,1703,9,291,1004,1982,1736,1894,1415,1282
2003,April,69,543,685,413,1124,1147,1746,548,876,1713,29,300,1003,1983,1723,1908,1414,1270
2003,May,81,555,678,406,1124,1141,1730,552,881,1719,39,281,983,1996,1712,1911,1395,1255
2003,June,94,575,682,393,1104,1159,1737,562,876,1705,35,291,971,1976,1711,1922,1388,1247
2003,July,110,559,686,377,1091,1141,1728,546,894,1685,16,287,991,1988,1706,1905,1377,1238
2003,August,93,578,697,388,1079,1155,1726,545,913,1690,30,272,1002,1973,1704,1924,1358,1245
2003,September,103,572,711,400,1084,1175,1733,550,897,1697,44,264,1007,1975,1717,1911,1365,1259
2003,October,97,577,728,393,1099,1173,1735,547,917,1677,47,280,1016,1980,1720,1891,1363,1240
2003,November,105,574,722,407,1087,1168,1743,565,917,1657,60,286,1011,1967,1704,1880,1360,1227
2003,December,97,585,711,398,1098,1161,1753,576,912,1674,74,294,1016,1973,1721,1879,1349,1223
2004,January,111,603,722,378,1084,1178,1763,572,915,1670,62,282,1007,1990,1706,1884,1340,1228
2004,February,102,600,731,380,1064,1187,1754,578,900,1683,76,280,1015,1976,1721,1885,1359,1235
2004,March,112,587,729,395,1067,1200,1761,566,917,1675,81,276,1007,1963,1724,1893,1358,1236
2004,April,93,602,716,391,1075,1186,1748,576,932,1655,91,296,1012,1974,1719,1874,1338,1228
2004,May,78,613,736,404,1087,1179,1767,587,930,1654,105,308,1008,1971,1730,1879,1343,1242
2004,June,96,597,729,398,1089,1189,1777,573,921,1665,103,321,1018,1952,1734,1861,1333,1245
2004,July,95,599,724,408,1084,1182,1784,573,934,1660,109,313,1000,1951,1728,1881,1338,1261
2004,August,110,597,734,397,1081,1170,1769,568,954,1656,117,331,1020,1957,1711,1881,1350,1246
2004,September,111,608,722,403,1086,1173,1756,567,934,1672,106,344,1001,1973,1702,1865,1331,1250
2004,October,125,610,732,396,1101,1188,1758,568,921,1671,99,339,998,1984,1718,1857,1333,1268
2004,November,118,618,734,397,1088,1188,1767,585,926,1686,81,320,986,1973,1700,1875,1335,1254
2004,December,100,633,750,405,1077,1205,1760,599,925,1694,82,326,969,1959,1686,1882,1334,1242
2005,January,80,632,757,422,1091,1213,1756,612,938,1700,66,329,984,1979,1666,1900,1316,1233
2005,February,99,626,746,415,1074,1207,1761,623,947,1718,51,349,968,1978,1661,1911,1331,1221
2005,March,116,613,740,426,1083,1215,1768,606,965,1732,50,365,986,1975,1661,1892,1350,1220
2005,April,131,595,746,423,1098,1197,1771,612,947,1736,53,374,1003,1956,1659,1886,1351,1205
2005,May,149,591,762,431,1088,1200,1757,625,938,1737,48,394,1013,1961,1664,1904,1361,1198
2005,June,156,581,773,445,1080,1197,1753,627,918,1750,50,398,1009,1950,1655,1910,1353,1181
2005,July,138,564,783,431,1098,1186,1739,617,934,1731,42,380,1000,1959,1672,1907,1333,1194
2005,August,134,557,774,418,1099,1198,1750,635,925,1748,42,360,995,1955,1691,1906,1341,1211
2005,September,114,566,784,428,1110,1182,1769,624,932,1752,53,355,987,1967,1707,1926,1360,1212
2005,October,111,579,796,428,1126,1162,1782,604,950,1767,65,347,991,1983,1710,1910,1364,1192
2005,November,95,574,807,412,1136,1148,1785,620,963,1760,67,336,998,1998,1730,1919,1344,1189
2005,December,98,556,810,430,1131,1132,1805,637,958,1771,75,333,1016,1982,1722,1912,1349,1179
2006,January,113,538,827,426,1140,1136,1799,635,964,1790,59,334,1006,1997,1702,1906,1353,1159
2006,February,122,548,839,434,1158,1154,1787,620,959,1804,61,341,996,1997,1685,1926,1364,1179
2006,March,134,567,832,425,1138,1167,1801,613,944,1824,65,332,996,2013,1700,1937,1372,1166
2006,April,118,583,837,415,1147,1176,1809,633,932,1826,58,348,1009,2023,1696,1923,1372,1185
2006,May,138,575,852,417,1156,1189,1822,630,933,1827,64,354,1012,2003,1698,1917,1355,1173
2006,June,146,570,833,435,1170,1172,1826,650,937,1823,61,361,1026,1990,1704,1909,1354,1154
2006,July,134,581,846,421,1184,1179,1846,661,921,1821,55,366,1014,1992,1712,1929,1355,1147
2006,August,121,575,828,415,1165,1190,1843,641,926,1839,50,384,1017,1997,1706,1947,1367,1134
2006,September,120,582,830,435,1169,1177,1851,635,944,1842,58,377,1007,1983,1692,1957,1380,1147
2006,October,114,600,835,436,1163,1190,1832,641,926,1850,56,365,1021,1997,1712,1958,1384,1157
2006,November,113,610,849,444,1164,1206,1838,660,935,1846,48,368,1008,1993,1694,1956,1383,1140
2006,December,97,594,859,441,1157,1189,1819,644,947,1849,28,373,1018,2006,1680,1962,1373,1129
2007,January,115,610,840,459,1162,1204,1829,634,927,1842,19,372,1009,2026,1698,1972,1387,1138
2007,February,107,601,832,453,1175,1218,1841,647,930,1825,28,388,1022,2046,1690,1978,1393,1126
2007,March,127,604,845,447,1194,1210,1835,639,934,1825,40,396,1012,2036,1672,1994,1396,1136
2007,April,146,607,862,450,1208,1199,1839,654,926,1829,48,394,1011,2028,1653,1981,1414,1120
2007,May,148,590,854,455,1209,1193,1855,671,910,1821,39,402,1023,2041,1634,1981,1394,1131
2007,June,133,588,864,469,1221,1208,1856,673,919,1823,33,384,1013,2052,1642,1994,1404,1115
2007,July,113,573,868,475,1215,1198,1837,658,916,1831,34,393,1006,2068,1660,2006,1387,1122
2007,August,119,593,855,482,1234,1203,1857,659,898,1847,30,381,1007,2054,1669,2013,1395,1112
2007,September,103,585,852,493,1232,1210,1848,664,878,1862,29,397,1012,2054,1658,2004,1388,1126
2007,October,105,569,868,509,1238,1206,1863,645,896,1879,42,412,998,2064,1652,2017,1376,1145
2007,November,86,578,875,506,1232,1223,1870,636,900,1882,45,410,997,2053,1632,2012,1393,1129
2007,December,100,560,856,489,1228,1232,1867,628,908,1890,34,421,979,2052,1623,2027,1395,1149
2008,January,81,546,845,488,1242,1243,1853,638,912,1875,35,434,981,2068,1617,2015,1382,1139
2008,February,72,554,846,468,1246,1247,1846,641,913,1867,15,451,965,2070,1637,2014,1374,1156
2008,March,63,552,849,452,1234,1265,1838,633,918,1876,23,444,948,2050,1632,2029,1354,1146
2008,April,47,535,847,457,1247,1273,1855,650,898,1870,12,450,943,2056,1641,2041,1341,1136
2008,May,63,534,835,474,1254,1277,1867,640,896,1857,25,445,937,2043,1658,2043,1358,1148
2008,June,72,551,848,470,1257,1283,1852,623,910,1846,13,433,932,2040,1676,2035,1370,1132
2008,July,56,534,835,455,1269,1280,1868,630,915,1841,6,447,951,2032,1687,2046,1359,1130
2008,August,62,531,850,453,1272,1275,1848,618,928,1831,7,432,960,2015,1707,2030,1355,1132
2008,September,78,515,854,435,1266,1271,1868,636,937,1813,24,415,959,2023,1708,2050,1371,1113
2008,October,81,511,873,449,1282,1264,1871,631,947,1805,29,422,954,2017,1705,2064,1364,1110
2008,November,72,519,872,450,1281,1264,1856,635,945,1801,17,436,963,2003,1702,2063,1360,1112
2008,December,84,519,886,442,1299,1282,1848,650,955,1787,35,427,977,2002,1696,2067,1367,1123
2009,January,71,526,904,437,1312,1265,1840,665,938,1801,23,407,990,1991,1698,2071,1357,1109
2009,February,85,516,924,437,1314,1276,1827,674,952,1805,11,400,978,2008,1679,2071,1361,1116
2009,March,103,496,944,435,1332,1296,1834,685,943,1801,27,409,986,1997,1690,2065,1378,1124
2009,April,106,480,936,453,1348,1313,1852,671,935,1817,13,413,977,2006,1706,2069,1369,1128
2009,May,98,471,923,446,1345,1322,1837,656,917,1808,32,418,980,1996,1705,2064,1365,1115
2009,June,115,487,904,438,1348,1310,1821,646,900,1797,39,436,970,2001,1708,2062,1363,1104
2009,July,113,479,890,448,1344,1313,1812,648,886,1799,20,436,955,1987,1691,2070,1375,1109
2009,August,98,487,888,464,1351,1321,1794,641,876,1779,8,443,935,2005,1694,2053,1373,1104
2009,September,102,480,880,472,1361,1316,1801,661,885,1787,21,425,955,2000,1689,2067,1362,1090
2009,October,122,465,898,462,1362,1302,1807,647,894,1770,28,429,952,1989,1702,2048,1365,1101
2009,November,142,482,894,447,1362,1313,1813,649,905,1781,27,432,947,1997,1714,2063,1360,1090
2009,December,143,469,907,428,1366,1317,1796,636,889,1775,16,421,940,1982,1712,2051,1360,1100
2010,January,156,466,907,425,1346,1311,1783,621,892,1757,2,435,927,1987,1705,2035,1371,1080
2010,February,170,449,889,426,1343,1321,1799,621,912,1772,16,417,921,1972,1706,2020,1359,1075
2010,March,150,461,893,429,1360,1330,1795,631,905,1781,3,431,921,1963,1725,2019,1357,1073
2010,April,155,455,897,445,1341,1336,1806,621,922,1790,21,451,939,1944,1730,2032,1353,1065
2010,May,141,439,916,449,1323,1340,1797,631,918,1784,9,457,951,1949,1746,2042,1357,1054
2010,June,130,457,917,456,1331,1321,1783,611,907,1768,11,466,932,1954,1755,2050,1377,1069
2010,July,125,458,928,465,1331,1331,1763,614,898,1757,25,468,940,1952,1759,2039,1362,1064
2010,August,127,450,945,482,1344,1341,1779,596,896,1759,37,460,945,1940,1745,2020,1357,1081
2010,September,109,459,951,484,1324,1353,1797,606,884,1753,25,467,957,1957,1736,2036,1353,1094
2010,October,110,477,967,500,1335,1353,1797,623,870,1762,19,487,953,1940,1755,2034,1347,1095
2010,November,124,474,953,513,1349,1365,1789,630,885,1748,29,467,967,1939,1765,2052,1347,1087
2010,December,144,471,958,508,1358,1360,1801,631,879,1734,14,464,978,1948,1780,2036,1338,1102
2011,January,136,469,961,511,1346,1355,1817,611,888,1718,2,476,977,1954,1765,2041,1329,1122
2011,February,153,481,973,531,1347,1362,1815,616,883,1705,10,482,969,1957,1781,2032,1335,1137
2011,March,149,469,985,531,1364,1376,1801,634,878,1713,16,499,980,1957,1799,2030,1326,1133
2011,April,150,479,984,520,1353,1373,1791,635,892,1711,36,516,979,1961,1787,2049,1318,1135
2011,May,169,474,1003,519,1334,1365,1803,624,910,1705,32,522,989,1974,1803,2069,1314,1137
2011,June,159,472,1016,505,1320,1382,1784,637,905,1696,15,541,1009,1959,1817,2054,1321,1125
2011,July,174,460,1034,509,1320,1395,1768,649,914,1683,6,559,990,1944,1837,2037,1315,1138
2011,August,181,444,1047,507,1303,1384,1784,669,919,1696,25,556,994,1936,1834,2034,1309,1158
2011,September,164,452,1054,514,1307,1404,1788,670,900,1702,9,542,977,1939,1837,2046,1303,1142
2011,October,167,472,1060,520,1314,1399,1801,667,913,1699,13,523,989,1958,1851,2051,1296,1153
2011,November,161,456,1048,507,1297,1404,1813,657,917,1689,25,534,990,1974,1855,2053,1276,1137
2011,December,166,467,1041,489,1312,1411,1799,643,933,1692,35,532,974,1958,1842,2050,1281,1142
2012,January,170,460,1037,469,1322,1405,1784,644,943,1683,29,549,991,1961,1823,2064,1291,1135
2012,February,168,449,1026,476,1311,1403,1789,649,930,1692,49,540,988,1942,1837,2073,1306,1153
2012,March,168,449,1019,496,1330,1422,1776,636,940,1673,51,530,987,1929,1837,2081,1303,1134
2012,April,187,454,1008,513,1312,1409,1794,628,921,1658,59,534,969,1917,1826,2096,1302,1124
2012,May,174,446,1024,519,1292,1403,1798,629,912,1646,75,518,965,1908,1833,2098,1295,1123
2012,June,166,442,1008,519,1293,1406,1804,648,918,1663,66,513,948,1901,1853,2114,1293,1114
2012,July,153,436,1011,499,1283,1408,1801,653,924,1643,67,503,940,1886,1870,2102,1277,1129
2012,August,152,434,995,484,1271,1399,1811,672,942,1636,78,488,923,1876,1851,2120,1294,1122
2012,September,149,445,978,475,1288,1382,1815,652,952,1634,71,488,909,1882,1847,2133,1286,1140
2012,October,141,444,993,492,1276,1397,1796,653,964,1614,64,468,894,1878,1861,2136,1291,1137
